Shipsure Account Description,Level,Shipsure Account Number,Account Type,HFM Account Number,HFM Account Description,,,,
COS - Discounts,3,4900650,Income Statement,IS251300,Discounts Paid costs ,,,,
INC - Share Profits of Assoc.,3,4900700,Income Statement,IS183000,Share of Profits of Associates ,,,,
INC - Travel Agency Revenues,3,4900800,Income Statement,IS136100,Travel Agency Revenue,,,,
Travel Payable Clearing Acc,3,4900801,Income Statement,IS136100,Travel Agency Revenue,,,,
Travel Agency Rev Taxable,3,4900802,Income Statement,IS136100,Travel Agency Revenue,,,,
Travel Agency Rev Non Taxable,3,4900803,Income Statement,IS136100,Travel Agency Revenue,,,,
COS - Travel Agency,3,4900810,Income Statement,IS136500,Travel Agency Costs costs ,,,,
INC - Other Income,4,4900900,Income Statement,IS135000,Other Service Fee Income,,,,
INC - Oth Income - Payroll Fee,4,4900901,Income Statement,IS135000,Other Service Fee Income,,,,
INC - Oth Inc - Stat Fees,4,4900902,Income Statement,IS135000,Other Service Fee Income,,,,
INC - Cadet Management Fee,4,4900903,Income Statement,IS135000,Other Service Fee Income,,,,
CM Other Income,4,4900904,Income Statement,IS135000,Other Service Fee Income,,,,
Company Car Benefit - Germany,4,4900905,Income Statement,IS135000,Other Service Fee Income,,,,
INC - Crew Lumpsum Profit/Loss,4,4900910,Income Statement,IS101040,Crew Lump Sum,,,,
INC - Crew Fixed Inv Income,4,4900920,Income Statement,IS135000,Other Service Fee Income,,,,
INC - KPI Fees,4,4900930,Income Statement,IS135000,Other Service Fee Income,,,,
INC - Pool Accounting Fees,4,4900940,Income Statement,IS135000,Other Service Fee Income,,,,
INC - Crew Employment Fees,4,4900950,Income Statement,IS135000,Other Service Fee Income,,,,
IT Income,4,4900960,Income Statement,IS135000,Other Service Fee Income,,,,
Commodity Income Chandlers,4,4900970,Income Statement,IS137050,Commodity Income Chandlers,,,,
Commodity Income Chemicals and,4,4900971,Income Statement,IS137060,Commodity Income Chemicals and Gasses,,,,
Commodity Income Engine and Pr,4,4900972,Income Statement,IS137070,Commodity Income Engine and Propulsion,,,,
Commodity Income Lubes,4,4900973,Income Statement,IS137080,Commodity Income Lubes,,,,
Commodity Income Paints,4,4900974,Income Statement,IS137090,Commodity Income Paints,,,,
"Commodity Income Spares, Equip",4,4900975,Income Statement,IS137100,"Commodity Income Spares, Equipment and Services",,,,
Commodity Income MARCAS Other ,4,4900976,Income Statement,IS137110,Commodity Income MARCAS Other,,,,
OVH - Salaries Local,4,5010100,Income Statement,IS302100,Salaries Local,,,,
Salaries Contra to COS,4,5010110,Income Statement,IS302100,Salaries Local,,,,
OVH - Salaries Expats,4,5010200,Income Statement,IS302400,Salaries Contracted,,,,
OVH - School Expenses - Expats,4,5010201,Income Statement,IS302230,Vacation Travel Expense ,,,,
OVH - Vacation Travel,4,5010202,Income Statement,IS302240,House Rental Expats Expense,,,,
OVH - House Rental Expats,4,5010203,Income Statement,IS302250,House Utilities Expats Expense,,,,
OVH - House Utilities Expats,4,5010204,Income Statement,IS302400,Salaries Contracted,,,,
OVH - Salaries Contracted,4,5010250,Income Statement,IS302400,Salaries Contracted,,,,
OVH - Salaries Recharged,4,5010400,Income Statement,IS302600,Salaries Recharged,,,,
OVH - Allowances,4,5010500,Income Statement,IS302700,Allowances ,,,,
OVH - Directors Remuneration,4,5011000,Income Statement,IS303110,Directors Remuneration Expense ,,,,
OVH - Social Contributions EE,4,5020100,Income Statement,IS304120,Social Contributions Employer ,,,,
OVH -Social Contributions ER,4,5020101,Income Statement,IS304110,Social Contributions Employee,,,,
OVH - National Insurance - UK,4,5020110,Income Statement,IS304120,Social Contributions Employer ,,,,
OVH - PAYE - UK,4,5020120,Income Statement,IS304120,Social Contributions Employer ,,,,
OVH - FUTA Tax - USA,4,5020150,Income Statement,IS304120,Social Contributions Employer ,,,,
OVH - State Unemployment Tax -,4,5020151,Income Statement,IS304120,Social Contributions Employer ,,,,
OVH - Workman Compensation - U,4,5020152,Income Statement,IS304120,Social Contributions Employer ,,,,
OVH - FICA Tax - USA,4,5020153,Income Statement,IS304120,Social Contributions Employer ,,,,
OVH - Pensions / Provident / R,4,5020200,Income Statement,IS305100,Pensions / Provident / Retirement (DC),,,,
OVH - Current Service Cost DB,4,5020210,Income Statement,IS305200,Current Service Cost DB Pension Plans,,,,
OVH - Local Taxes - Employers,4,5020300,Income Statement,IS304600,Local Taxes - Employers,,,,
OVH - Health / Medical Insur.,4,5020400,Income Statement,IS311110,Health / Medical Insure. Expense ,,,,
OVH - Ass. Vieillesse & Surviv,4,5020410,Income Statement,IS306110,Ass. Vieillesse and Survive Expense ,,,,
OVH - Assurance Chomage,4,5020420,Income Statement,IS306120,Assurance Chomage Expense ,,,,
OVH - Personal Accident Insura,4,5020430,Income Statement,IS306130,Personal Accident Insure Expense,,,,
OVH - Redundancy Costs,4,5020440,Income Statement,IS307110,Redundancy Costs ,,,,
OVH - Personal Prof. Costs,4,5020500,Income Statement,IS311120,Personal Prof. Costs,,,,
OVH - Sal - Other Payments,4,5020600,Income Statement,IS311130,Sal - Other Payments Expense ,,,,
OVH - Office Staff Uniforms,4,5020700,Income Statement,IS311140,Office Staff Uniforms Expense,,,,
INC - Overheads Rec'd - Gen,4,5070001,Income Statement,IS114100,Overhead Recoveries,,,,
OVH - Training,3,5100100,Income Statement,IS321000,Training ,,,,
OVH - Recruitment,4,5100200,Income Statement,IS322100,Recruitment ,,,,
OVH - Relocation,4,5100300,Income Statement,IS322300,Relocation ,,,,
OVH - Travel Expenses,4,5100400,Income Statement,IS323110,Other Travel Expenses,,,,
OVH - Shareholder Transaction,4,5100450,Income Statement,IS323120,Shareholder Transaction Expense ,,,,
OVH - Staff Social Activities,4,5100500,Income Statement,IS323200,Staff Social Activities ,,,,
OVH - Office Car Exp / Car Ins,3,5100600,Income Statement,IS324000,Office Car expenses/Car Insurance,,,,
OVH - Motor Vehicles,3,5100650,Income Statement,IS324200,Motor Vehicles Expenses,,,,
OVH - Salaries Temporary,4,5101300,Income Statement,IS302500,Salaries Temporary,,,,
OVH - Salary - Bonuses,3,5101400,Income Statement,IS315000,Staff Incentive Scheme ,,,,
OVH - Rent,4,5200000,Income Statement,IS331100,Rent ,,,,
OVH - Rent & Rates Store,4,5200001,Income Statement,IS302260,Rent &Rates Store Expense ,,,,
OVH - Property Taxes & Rates,4,5200100,Income Statement,IS331200,Property Taxes and Rates,,,,
OVH - Service Charges,4,5200200,Income Statement,IS331300,Service Charges,,,,
OVH - Property Insurance,4,5200300,Income Statement,IS331400,Property Insurance,,,,
OVH - Repairs & Maintenance,4,5210100,Income Statement,IS332100,Repairs and Maintenance ,,,,
OVH - Improvements,4,5210200,Income Statement,IS332200,Improvements ,,,,
OVH - Dilapidations,4,5210250,Income Statement,IS332310,Dilapidations Expense,,,,
OVH - Office Relocation,4,5210260,Income Statement,IS332400,Office Relocation,,,,
OVH - Telephone Office,4,5300000,Income Statement,IS341110,Telephone Office Expense ,,,,
OVH - Telephone Mobile,5,5300100,Income Statement,IS341200,Telephone Mobile,,,,
OVH - Fax,4,5300200,Income Statement,IS341400,Fax ,,,,
OVH - Telex,4,5300300,Income Statement,IS341500,Telex ,,,,
OVH - Internet / Phone (Home),4,5300350,Income Statement,IS341120,Internet / Phone (Home) Expense ,,,,
OVH - Postage,4,5310000,Income Statement,IS342100,Postage ,,,,
OVH - Courier Expenses,4,5310100,Income Statement,IS342200,Courier Expenses,,,,
OVH - Printing,4,5320000,Income Statement,IS343100,Printing ,,,,
OVH - Stationery,4,5320100,Income Statement,IS343200,Stationery ,,,,
OVH - Photocopier,4,5320200,Income Statement,IS343300,Photocopier ,,,,
OVH - Equip Rental / Leasing,4,5330000,Income Statement,IS344200,Equipment Rental / Leasing,,,,
OVH - Computer Rental / Leas.,4,5330050,Income Statement,IS344100,IT Software Licences,,,,
OVH - Computer Expenses,4,5330100,Income Statement,IS344300,IT Expenses,,,,
OVH - Equipment Expenses,4,5330150,Income Statement,IS344400,Equipment Expenses,,,,
OVH - Food & Drink,4,5340000,Income Statement,IS345100,Food and Drink ,,,,
OVH - Entertainment Expenses,4,5341000,Income Statement,IS345200,Entertainment ,,,,
OVH - Lighting & Heating,4,5343000,Income Statement,IS345300,"Electricity, Gas, lighting, heating",,,,
OVH - Water,4,5344000,Income Statement,IS345400,Water ,,,,
OVH - Office Cleaning,4,5345000,Income Statement,IS345500,Office Cleaning,,,,
OVH - Office Consumables,4,5346000,Income Statement,IS345600,Office Consumables,,,,
OVH - Periodicals,4,5347000,Income Statement,IS345700,Periodicals ,,,,
OVH - Office Costs - Other,4,5348000,Income Statement,IS345800,Office Costs - Other,,,,
OVH -Technical Office Costs,4,5348010,Income Statement,IS345800,Office Costs - Other,,,,
OVH - Non Deductables,4,5348011,Income Statement,IS345800,Office Costs - Other,,,,
OVH - Maintenance Agreements,4,5349000,Income Statement,IS346100,Maintenance Agreements,,,,
OVH - Storage Costs,4,5349500,Income Statement,IS346200,Storage Costs,,,,
OVH - Office Closure Costs,4,5349600,Income Statement,IS346310,Office Closure Standard Costs,,,,
OVH - Public Liability Insuran,4,5400000,Income Statement,IS354100,Public Liability Insurance ,,,,
OVH - Personal Accident,4,5400100,Income Statement,IS354200,Personal Accident,,,,
OVH - Life Insurance,4,5400200,Income Statement,IS354300,Life Insurance,,,,
OVH - Other Expense,4,5400210,Income Statement,IS311160,Other Expense,,,,
OVH - Contents Insurance,4,5400300,Income Statement,IS354400,Contents Insurance,,,,
OVH - Professional Liability,4,5400400,Income Statement,IS354500,Professional Liability,,,,
OVH - Other Insurance,4,5400500,Income Statement,IS354600,Other Insurance,,,,
OVH - Internal Audit Expenses,4,5800000,Income Statement,IS351100,Internal Audit Fees,,,,
OVH - External Audit Expenses,4,5800010,Income Statement,IS351200,External Audit Fees,,,,
OVH - Quality Assurance,4,5800020,Income Statement,IS351300,Quality Assurance Costs ,,,,
OVH - Legal Expenses,4,5810000,Income Statement,IS352100,Legal Professional Expenses,,,,
OVH - Consultancy Expenses,4,5810100,Income Statement,IS352250,IT Consultancy Costs,,,,
OVH - SPONSOR FEE,4,5810101,Income Statement,IS302270,Sponsor Fee Expense ,,,,
OVH - Shareholder Transaction,4,5810150,Income Statement,IS352320,Shareholder Transaction Costs,,,,
OVH - Tax Expenses,4,5810200,Income Statement,IS352200,Tax Professional Expenses,,,,
Late Payment Fees,3,5810250,N/A,New Account to be approved and setup,#N/A,,,,
OVH - Other Professional Expen,4,5810300,Income Statement,IS352410,Other Professional Expense,,,,
OVH - Marketing - Professional,4,5810310,Income Statement,IS352415,Marketing - Professional Fees,,,,
OVH - Research & Development,4,5810350,Income Statement,IS352420,Research and Development Expense,,,,
OVH - Company Administration C,4,5810351,Income Statement,IS352410,Other Professional Expense,,,,
OVH - Integration Costs,4,5810352,Income Statement,IS352410,Other Professional Expense,,,,
OVH - Advertising / Publicity,4,5820100,Income Statement,IS353100,Advertising / Publicity ,,,,
OVH - Subscriptions & Publicat,4,5820200,Income Statement,IS353210,General - Subscriptions and Publications ,,,,
OVH - Club Sub / Membership Fe,4,5820201,Income Statement,IS302280,Club Sub / Membership Fee Expense,,,,
OVH - Newspaper Subs,4,5820202,Income Statement,IS302290,Newspaper Subs Expense ,,,,
OVH - Marketing,4,5830000,Income Statement,IS353310,Marketing Expense,,,,
OVH - Tradeshows/Conferences,4,5830010,Income Statement,IS353320,Tradeshows / Conferences Expense,,,,
OVH - Gifts & Donations,4,5830100,Income Statement,IS353410,Gifts and Donations - General,,,,
OVH - Marketing - Subscription,4,5850204,Income Statement,IS353220,Marketing - Subscriptions and Publications ,,,,
OVH - Subscriptions and Public,4,5850205,Income Statement,IS353200,Subscriptions and Publications (Closed),,,,
DFP - Land & Buildings - Dep,4,5900000,Income Statement,IS512120,Buildings Depreciation,,,,
DFP - Office Equipment - Dep,4,5900100,Income Statement,IS512200,Office and Bus Equip Depreciation,,,,
DFP - Fittings & Mod's - Dep,4,5900200,Income Statement,IS512300,Office Furniture and Fittings Depreciation,,,,
DFP - Furniture - Dep,4,5900300,Income Statement,IS512300,Office Furniture and Fittings Depreciation,,,,
DFP - Motor Vehicles - Dep,4,5900400,Income Statement,IS513000,Motor Vehicle Depreciation ,,,,
DFP - Computer Hardware - Dep,4,5900500,Income Statement,IS512500,IT Hardware Depreciation,,,,
DFP - Computer Software - Dep,4,5900600,Income Statement,IS521000,IT Software Amortisation,,,,
DFP - Other Equipment - Dep,4,5900700,N/A,Do Not Use,0,,,,
DFP - Lease Commitments - Dep,4,5900800,Income Statement,IS514000,Finance Lease Assets Depreciation,,,,
Right-To-Use Land Depreciation,3,5900901,Income Statement,IS511111,Right-to-use assets Land Depreciation,,,,
Right-To-Use Buildings Depreci,3,5900910,Income Statement,IS511112,Right-to-use assets Buildings Depreciation,,,,
Right-To-Use Off Bus Equip Dep,3,5900920,Income Statement,IS511113,Right-to-use assets Office and Business Equipment Depreciation,,,,
Right-To-Use Motor Vehicle Dep,3,5900930,Income Statement,IS351117,Right-to-use assets Motor Vehicles Depreciation,,,,
DFP - Amort. of Intan. Assets,3,5910000,Income Statement,IS521000,IT Software Amortisation,,,,
Goodwill Amortisation,3,5910100,Income Statement,IS522000,Goodwill Amortisation,,,,
Contract Rights Amortisation  ,3,5910200,Income Statement,IS523000,Contract Rights Amortisation ,,,,
Customer Relationships Amortis,3,5910300,Income Statement,IS524000,Customer Relationships Amortisation,,,,
Brands Amortisation,3,5910400,Income Statement,IS525000,Brands Amortisation,,,,
Licenses Amortisation,3,5910500,Income Statement,IS526000,Licenses Amortisation,,,,
Intellectual Property Rights A,3,5910600,Income Statement,IS527000,Intellectual Property Rights Amortisation,,,,
Other Intangible Assets Amorti,3,5910700,Income Statement,IS528000,Other Intangible Assets Amortisation,,,,
Goodwill Impairment (Non Excep,3,5915000,Income Statement,IS530100,Goodwill Impairment (Non Exceptional),,,,
"Property, Plant and Equipment",3,5915010,Income Statement,IS530200,"Property, Plant and Equipment Impairment (Non Exceptional)",,,,
Other Impairment (Non Exceptio,3,5915020,Income Statement,IS530400,Other Impairment (Non Exceptional),,,,
Finance Lease Impairment (Non,3,5915030,Income Statement,IS530300,Finance lease assets Impairment (Non Exceptional),,,,
DFP - Bad Debts,3,5920000,Income Statement,IS401000,Bad Debt Expense Recognised,,,,
Bad Debt Expense Reversed,3,5920100,Income Statement,IS401100,Bad Debt Expense Reversed,,,,
Current Liabilities Write Off,3,5920110,Income Statement,IS402000,Current Liabilities Write Off Gain,,,,
I/Co Spec T/Fer Income NON EBITDA,,5920140,Intercompany IS,IS541000,Intercompany Special Transfer Income Non-EBITDA,,,,
I/Co Spec T/Fer Expense NON EBITDA,,5920150,Intercompany IS,IS542000,Intercompany Special Transfer Expense Non-EBITDA,,,,
DFP - Loss/Profit Disp Investm,4,5930000,Income Statement,IS422100,Investment Disposals,,,,
DFP - Loss/Profit Disp Land &,4,5930100,Income Statement,IS421100,Land and Buildings Disposals,,,,
DFP - Loss/Prof Disp FA - Othe,4,5930200,Income Statement,IS421200,Other Fixed Assets Disposals,,,,
Intangible Fixed Assets Dispos,4,5930210,Income Statement,IS421300,Intangible Fixed Assets Disposals,,,,
Gain/Loss - Assets & Liabiliti,4,5930220,Income Statement,IS423000,Gain/Loss - Assets & Liabilities Held For Sale,,,,
Gain/Loss Fin Lease Mods,4,5930230,Income Statement,IS424000,Gain/Loss on finance lease modification,,,,
Impairment on Investments,4,5930300,Income Statement,IS422200,Impairment on Investments (Non Exceptional),,,,
DFP - Diff on Exchange +/(-),3,5940000,Income Statement,IS431000,Operating Exchange Rate Gain / (Loss),,,,
DFP - Bank Charges,3,5951000,Income Statement,IS440000,Bank Charges,,,,
DFP - Stock Loss/Gain,3,5951010,Income Statement,IS280200,Inventory Write Off,,,,
ATP - Bank Interest Receivable,4,5951100,Income Statement,IS611110,Bank Interest Income ,,,,
DFP - Loan Interest Payable,4,5952000,Income Statement,IS611520,Loan Interest Expense ,,,,
Finance Charge Due to FX,4,5952001,Income Statement,IS620500,Financing FX Expense,,,,
External Loan Interest Income ,4,5952010,Income Statement,IS611120,External Loan Interest Income,,,,
DFP - Bank Interest Payable,4,5952100,Income Statement,IS611510,Bank Interest Expense ,,,,
DFP - Loan Notes Int. Payable,4,5952200,Income Statement,IS611530,Loan Notes Interest Expense,,,,
DFP - Other Interest Payable,4,5952300,Income Statement,IS611540,Other Interest Expense ,,,,
Finance Lease Interest Expense,4,5952310,Income Statement,IS611550,Finance Lease Interest Expense ,,,,
Fin Lease Int Exp - Land,4,5952311,Income Statement,IS611550,Finance Lease Interest Expense ,,,,
Fin Lease Int Exp - Buiildings,4,5952312,Income Statement,IS611550,Finance Lease Interest Expense ,,,,
Fin Lease Int Exp Off Bus Equi,4,5952313,Income Statement,IS611550,Finance Lease Interest Expense ,,,,
Fin Lease Int Exp Motor Vehicl,4,5952315,Income Statement,IS611550,Finance Lease Interest Expense ,,,,
Bank Charges (Financing Costs),4,5952320,Income Statement,IS611560,Bank Charges (Financing Costs) ,,,,
Deferred Finance Cost Amortisa,4,5952330,Income Statement,IS611570,Deferred Finance Cost Amortisation,,,,
Bank Guarantee Commission Expe,4,5952340,Income Statement,IS611580,Bank Guarantee Commission Expenses,,,,
Rating Agency Fees,4,5952350,Income Statement,IS611590,Rating Agency Fees,,,,
Interest on Defined Benefit Ob,4,5952360,Income Statement,IS611600,Interest on Defined Benefit Obligation,,,,
DFP - Bank Charges,4,5952400,Income Statement,IS440000,Bank Charges,,,,
ATP - Other Int Receivable,4,5952500,Income Statement,IS620100,Financing FX Income,,,,
Intercompany Interest Income,4,5952600,Intercompany IS,IS615100,Intercompany Interest Income,,,,
Intercompany Interest Expense ,4,5952601,Intercompany IS,IS615500,Intercompany Interest Expense,,,,
FX Rate Derivative Income,4,5952650,Income Statement,IS630100,FX Rate Derivative Income,,,,
FX Derivative Expense,4,5952651,Income Statement,IS630500,FX Rate Derivative Expense,,,,
Interest Rate Hedge Income,4,5952700,Income Statement,IS631200,Interest Rate Hedge Income,,,,
Interest Rate Hedge Expense,4,5952701,Income Statement,IS631300,Interest Rate Hedge Expense,,,,
Other Derivative Income,4,5952800,Income Statement,IS632200,Other Derivative Income,,,,
Other Derivative Expense,4,5952801,Income Statement,IS632300,Other Derivative Expense,,,,
DFP - Corp Dividend Payable,4,5960000,Intercompany IS,IS922000,Intercompany Dividends Paid,,,,
ATP - Corp Dividend Receivable,4,5960100,Intercompany IS,IS921000,Intercompany Dividends Received,,,,
Dividends Paid to External Non,4,5960200,Income Statement,IS931000,Dividends Paid to External Non Minority Shareholders,,,,
Dividends Paid to Minority Int,4,5960300,Income Statement,IS932000,Dividends Paid to Minority Interests,,,,
Current Asset Write Off Loss,3,5962000,Income Statement,IS450000,Current Asset Write Off Loss,,,,
Investment Expense / Losses,3,5962020,Income Statement,IS460000,Investment Expense / Losses,,,,
Gain (Loss) on FX Contracts,3,5962030,Income Statement,IS470000,Gain (Loss) on FX Contracts,,,,
Senior Management Incentive,3,5962040,Income Statement,IS315100,Senior Management Incentive,,,,
DFP - Income Tax,4,5970000,Income Statement,IS811100,Corporation Tax Current Year,,,,
DFP - Corporate Tax,4,5970100,Income Statement,IS811100,Corporation Tax Current Year,,,,
CORP TAX CHARGE PERIOD GBP,4,5970101,Income Statement,IS811100,Corporation Tax Current Year,,,,
DFP Corporate Tax Prev Yr,4,5970110,Income Statement,IS812000,Corporation Tax Expense Prior Year,,,,
DFP - NATIONAL TAX - CHF,4,5970120,Income Statement,IS811200,National Tax Expense,,,,
DFP - CITY TAX - CHF,4,5970130,Income Statement,IS811300,City Tax Expense,,,,
DFP - LOCAL TAX - CHF,4,5970140,Income Statement,IS811400,Local Tax Expense,,,,
DFP - Deferred Tax,4,5970200,Income Statement,IS821000,Deferred Tax Prior Year,,,,
Deferred Tax Expense,4,5970210,Income Statement,IS822000,Deferred Tax Current Year ,,,,
DFP - Other Tax,4,5971000,Income Statement,IS811500,Other Tax Expense,,,,
Withholding Tax,4,5971010,Income Statement,IS830000,Withholding Tax Expense,,,,
DFP - Minority Int.- (Paid)/Re,3,5980000,N/A,Don't map,0,,,,
DFP - Prior Year Adjustments,3,5990000,Income Statement,IS410000,Prior Year Adjustments ,,,,
DFP - Gain/Loss on Extraord It,3,5990001,Income Statement,IS422500,Gain/Loss - Extraordinary Expense ,,,,
Unapproved Sales Invoices,3,5999998,N/A,Do Not Use,0,,,,
Unapproved Purchase Invoices,3,5999999,N/A,Do Not Use,0,,,,
Guaranteed Rate - Crew,4,7020000,Income Statement,IS122100,Guaranteed Rate Crew Income ,,,,
Guaranteed Rate Passengers,4,7020001,Income Statement,IS122110,Guaranteed Rate Passengers Income,,,,
Catering Materials Fixed,4,7020002,Income Statement,IS122120,Catering Materials Fixed Income,,,,
Catering Materials Consumables,4,7020003,Income Statement,IS122130,Catering Materials Consumables Income,,,,
.,4,7020004,Income Statement,IS122140,Catering Manning Fee Income,,,,
Extra Meals - Passengers Visit,4,7020005,Income Statement,IS122150,Extra Meals - Passengers Visit Income,,,,
Gifts to Officials,4,7020006,Income Statement,IS122160,Gifts to Officials Income,,,,
Principals Expenses oBo Catere,4,7020007,Income Statement,IS122170,Principals Expenses oBo Catered Income ,,,,
Bar Issue of Premium Items,4,7020008,Income Statement,IS122180,Bar Issue of Premium Items Income,,,,
Other Catering Income,4,7020009,Income Statement,IS122190,Other Catering Income ,,,,
Guaranteed Rate - Cruise Staff,4,7020011,Income Statement,IS122200,Guaranteed Rate - Cruise Staff Income,,,,
Food Income - Bar,4,7020012,Income Statement,IS122210,Food Income - Bar Income ,,,,
Beverages Income - Galley,4,7020013,Income Statement,IS122220,Beverages Income - Galley Income ,,,,
Consumables Income - Galley,4,7020014,Income Statement,IS122230,Consumables Income - Galley Income ,,,,
Barge Fund Income,4,7020015,Income Statement,IS113110,0,,,,
Medical Fee,4,7020016,Income Statement,IS113110,0,,,,
G & A Cleaning Materials Reven,4,7020017,Income Statement,IS222300,G & A Cleaning Materials Revenue ,,,,
Medical Oxygen Fee,4,7020018,Income Statement,IS113110,0,,,,
Water Solution - Revenue,4,7020019,Income Statement,IS222320,Water Solution – Revenue ,,,,
Medical - ppd Revenue,4,7020020,Income Statement,IS222330,Medical – ppd Revenue ,,,,
Extra Meals to Crew,4,7021010,Income Statement,IS122240,Extra Meals to Crew Income ,,,,
G & A Consumables Revenue,4,7021028,Income Statement,IS222310,G & A Consumables - Revenue ,,,,
Extra Delivery Costs,4,7021030,Income Statement,IS122250,Extra Delivery Costs Income,,,,
Additional Purchases Income,4,7021040,Income Statement,IS122260,Additional Purchases Income ,,,,
Slop Chest / Bonded Store Inco,4,7021060,Income Statement,IS122270,Slop Chest / Bonded Store Inco Income ,,,,
Management Fee - Catering,4,7021070,Income Statement,IS122280,Management Fee - Catering Income ,,,,
Medical Advisory Revenue,4,7020021,Income Statement,IS122370,Medical Advisory Revenue,,,,
Catering Rebate Income,4,7021080,Income Statement,IS122290,Catering Rebate Income,,,,
Food Opening Stock,4,7022010,Income Statement,IS234100,Food Opening Stock Expense,,,,
Beverages - Opening Stock,4,7022011,Income Statement,IS234110,Beverages - Opening Stock Expense ,,,,
Beverages - Purchases,4,7022012,Income Statement,IS234120,Beverages - Purchases Expense,,,,
Beverages - Closing Stock,4,7022013,Income Statement,IS234130,Beverages - Closing Stock Expense ,,,,
Consumables - Opening Stock,4,7022014,Income Statement,IS234140,Consumables - Opening Stock Expense ,,,,
Consumables - Purchases,4,7022015,Income Statement,IS234150,Consumables - Purchases Expense,,,,
Consumables - Closing Stock,4,7022016,Income Statement,IS234160,Consumables - Closing Stock Expense ,,,,
Sundries,4,7022017,Income Statement,IS234170,Sundries Expense,,,,
Credit Card Charges,4,7022018,Income Statement,IS234180,Credit Card Charges Expense,,,,
Freight Costs,4,7022019,Income Statement,IS234190,Freight Costs ,,,,
Food - Purchases,4,7022020,Income Statement,IS234200,Food - Purchases Expense,,,,
Catering Manning Cost,4,7022021,Income Statement,IS234210,Catering Manning Cost Expense,,,,
Sundry Expenses,4,7022022,Income Statement,IS234220,Sundry Expenses Expense ,,,,
COMMISSION FEES,4,7022023,Income Statement,IS234230,Commission Fees Expense ,,,,
Warehouse Purchases,4,7022024,Income Statement,IS234240,Warehouse Purchases Expense ,,,,
Barge Fund Cost,4,7022025,Income Statement,IS213110,0,,,,
VAT / TAX non recoverable,4,7022026,Income Statement,IS213110,Project Expenses Crew NFI,,,,
G & A Cleaning Materials Cost,4,7022027,Income Statement,IS234330,0,,,,
G & A Consumables Cost,4,7022028,Income Statement,IS234340,G & A Consumables - Cost ,,,,
Medical Cost,4,7022029,Income Statement,IS234400,0,,,,
Cash Purchases Vessel,4,7022030,Income Statement,IS234250,Cash Purchases Vessel Expense,,,,
Medical Oxygen Cost,4,7022031,Income Statement,IS234410,0,,,,
Water Solution - Cost,4,7022039,Income Statement,IS234350,Water Solution – Cost ,,,,
Slop Chest/Bonded Store Cost,4,7022040,Income Statement,IS234260,Slop Chest / Bonded Store Cost Expense ,,,,
Medical-ppd Cost,4,7022041,Income Statement,IS234360,Medical – ppd Cost ,,,,
Food - Closing Stock,4,7022050,Income Statement,IS234270,Food - Closing Stock Expense ,,,,
Warehouse Op. Stock,4,7022051,Income Statement,IS234280,Warehouse Op. Stock Expense,,,,
Warehouse Cl. Stock,4,7022052,Income Statement,IS234290,Warehouse Cl. Stock Expense,,,,
G&A Cleaning Mats - Op Stock,4,7022060,Income Statement,IS234330,G & A Cleaning Materials Cost ,,,,
G&A Cleaning Mats - Cl Stock,4,7022061,Income Statement,IS234330,G & A Cleaning Materials Cost ,,,,
G&A Consumables - Op Stock,4,7022070,Income Statement,IS234340,G & A Consumables - Cost ,,,,
G&A Consumables - Cl Stock,4,7022071,Income Statement,IS234340,G & A Consumables - Cost ,,,,
Delivery Cost,4,7023030,Income Statement,IS234300,Delivery Cost Expense ,,,,
Additional Purchases Cost,4,7023040,Income Statement,IS234310,Additional Purchases Cost Expense,,,,
INC - Other Fees - BGI,4,7040100,Income Statement,IS135000,Other Service Fee Income,,,,
INC - Recoveries - Comm Exp's,4,7040200,Income Statement,IS181100,Recovery from Vessels or Client ,,,,
INC - Other Recoveries - BGI,4,7040300,Income Statement,IS181100,Recovery from Vessels or Client ,,,,
OVH - URSSAF - France,4,7061001,Income Statement,IS304120,Social Contributions Employer ,,,,
OVH - CAISSE Maritime D'AF,4,7061002,Income Statement,IS304120,Social Contributions Employer ,,,,
OVH - Retraites Unies - France,4,7061003,Income Statement,IS304120,Social Contributions Employer ,,,,
OVH - Capricel - France,4,7061004,Income Statement,IS304120,Social Contributions Employer ,,,,
OVH - Mutuelle - France,4,7061005,Income Statement,IS304120,Social Contributions Employer ,,,,
OVH - Enim Armateur - France,4,7061006,Income Statement,IS304120,Social Contributions Employer ,,,,
OVH - CRI Prevoyance - France,4,7061007,Income Statement,IS304120,Social Contributions Employer ,,,,
OVH - Life Insurance Crew,4,7061008,Income Statement,IS304120,Social Contributions Employer ,,,,
OVH - Other Social Insur. Cont,4,7061009,Income Statement,IS304120,Social Contributions Employer ,,,,
OVH - Assedic  - France,4,7061010,Income Statement,IS304120,Social Contributions Employer ,,,,
OVH - Assedic Crew - France,4,7061011,Income Statement,IS304120,Social Contributions Employer ,,,,
OVH - Bonuses - France,4,7061012,Income Statement,IS304120,Social Contributions Employer ,,,,
CONTRIB ON LEAVE PAYABLE,4,7061013,Balance Sheet,BS32900,VAT Payable ,,,,
OVH - Fongecif - France,4,7061020,Income Statement,IS331200,Property Taxes and Rates,,,,
COS - Managment Fees - France,4,7061100,Income Statement,IS211100,Full Management Costs,,,,
COS - Crewing Fees - France,4,7061101,Income Statement,IS222000,Crewing Fees,,,,
